Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;SLAVKO ŠTEFANIÆ;SINIŠA MAŽURAN;MANDA POSPIŠIL;ŽELJKA LEŠIÆ;TOMISLAV DEVÈIÆ;ENVER KAMIÆ;DANIJELA KELOVIÆ;MIROSLAV BAIÆ;SILVIO SERTIÆ;ANTONIJO VUGRINEC;GORAN KUCKO;SENADA SERTIÆ;DARKO POSPIŠIL;ANA MARIJA RADAŠINOVIÆ;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"", DEMOKRATSKA PRIGORSKO - ZAGREBAÈKA STRANKA - DPS, DEMOKRATSKA STRANKA ŽENA - DSŽ, HRVATSKA EUROPSKA STRANKA - HES, HRVATSKA RADNIÈKA STRANKA - HRS, HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI, MEÐIMURSKA STRANKA - MS, NEZAVISNI SELJACI HRVATSKE - NSH, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, STRANKA UMIROVLJENIKA - SU, UMIROVLJENIÈKA DEMOKRATSKA UNIJA - UDU, ZELENI SAVEZ - ZELENI, ZELENA STRANKA - ZS";MIODRAG DEMO;ZVONKO KUNIÆ, dipl. oec.;DAMIR PETRAVIÆ, mag. ing.;BRANIMIR BEŠLIÆ, prof.;SABINA FERDERBER;MATO MLINARIÆ;MIRA BOŽIÆ, bacc. paed.;BRANIMIR BUDETIÆ;KATA TOMAC;MIRKO LAJPOLD;SANDA KOLAKOVIÆ, dipl. uè.;ZLATA FILIPOVIÆ, dipl. ing.;ERVIN JAHIÆ;MARIJA SEKELEZ, mag. art.;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS;DRAŽEN BOŠNJAKOVIÆ;GORAN MARIÆ;GORDAN JANDROKOVIÆ;STJEPAN KOŽIÆ;IVO ŽINIÆ;MARIO ŽUPAN;JOSIP BUDIMIR;DRAŽEN BARIŠIÆ;dr. sc. ZLATKO HASANBEGOVIÆ;VLATKA VUKELIÆ;ANTUN VIDAKOVIÆ;ŽELJKA JOSIÆ;ŽELJKO LENART;MARIJA STARÈEVIÆ;HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP, OBITELJSKA STRANKA - OS;BRANKO BORKOVIÆ;SLAVKO MUŽA;PEJO TRGOVÈEVIÆ;ŽELJKO SOLDO;DRAŽEN RAJIÆ;ÐURÐICA JURIÆ;KRISTINA GRUBEC;DAMIR MARKUŠ;ANTO ŽILIÆ;PAVLINA IVIÆ;ANA STRILIÆ;NIKOLINA ŠEPOVIÆ;ANDRIJA NEJAŠMIÆ;MARICA ŠANTEK;MOST NEZAVISNIH LISTA - MOST;JASNA MATULIÆ, dipl. oec.;JURO MARTINOVIÆ, dipl. iur.;dr. sc. TOMISLAV DUBRAVAC;mr. sc. PETAR ÆOSIÆ, bacc. med. techn.;MATIJA REIZOVIÆ;GORDANA ÐURIÆ;IVO GRABOVAC, dipl. ing. stroj.;ZORAN MARINOVIÆ, prof.;MILAN BRIGLJEVIÆ;LIDIJA IVEKOVIÆ;ANA KLARIÆ;LUCA MIKIÆ;VITA GLASNOVIÆ, struè. spec. comm.;HRVOJE MUCAVAC, dipl. ing. grað.;NARODNA STRANKA - REFORMISTI - REFORMISTI, NAPRIJED HRVATSKA! - PROGRESIVNI SAVEZ IVE JOSIPOVIÆA, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI, ZELENI FORUM, DUBROVAÈKI DEMOKRATSKI SABOR - DDS;DARINKO DUMBOVIÆ;ALENKA KOŠIŠA ÈIÈIN-ŠAIN;ŽELJKO VUGRIÆ;NEVENKA LASIÆ;ANÐELKO HRUPAÈKI;MARINA KOVAÈ;SANJA STJEPIÆ;MIRA HARCET;BOŽICA SOLENIÈKI;ANITA BEGIÆ HADŽIPAŠIÆ;dr. sc. ZVONIMIR KOTARAC;ANDRIJANA IMPRIÆ;DIANA MUŽIÆ, dr. stom.;SAVKA KUÈAR-DRAGIÈEVIÆ;ODRŽIVI RAZVOJ HRVATSKE - ORaH;MLADEN NOVAK;dr. sc. SANDRA VRAÈAN;SLAVEN VUJIÆ;JASMINA BUŽINKIÆ;DARKO STOŠIÆ;dr. sc. ŽELJKA MAÈAK ŠAFRANKO;JOVAN BRAJENOVIÆ;ŽELJKA GREDELJ;DANIEL BERDAIS;ANA HRESTAK;VEDRAN BAJSIÆ;LIDIJA GREDIÈAK;DAVOR RADAKOVIÆ;VANDA MEŠNJAK BARŠIÆ;U IME OBITELJI - PROJEKT DOMOVINA;KREŠIMIR PLANINIÆ, dipl. iur.;TIN IVANKOVIÆ, prof.;ROBERT ŽIGA, dipl. ing.;IGOR POLIÆ, dipl. ing.;IVAN TRŽIÆ;SONJA REPIÆ, dipl. iur.;MARIJA VUKOVIÆ;IVA PEM NOVOSEL, dr. med.;ZLATA CESTARIÆ;GORAN PLANK;SANDA ZENKO, dipl. ing.;RUŽA KORDIÆ, dipl. ing.;IVANA BAN;MONIKA PERIÆ;AKCIJA MLADIH - AM;DANIELA JERBIÆ;DRAŽEN MATAKOVIÆ;ALEN STARJAÈKI;DOMAGOJ SUÈIÆ;JASMINA MATAKOVIÆ;GORAN PAVLEK;GORAN BODEGRAJA;MARKO MATAKOVIÆ;ANA TUBIÆ;IVA POTOÈNJAK;LARISA ŠTEFANÈIÆ;NINA FRGAÈIÆ;DIJANA JAKOVAC;TAJANA BUKOVIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, HRVATSKA DEMOKRATSKA STRANKA, NACIONALNI DEMOKRATI - ND;TIHOMIR VODOPIJA;MONIKA BOBINAC FILIPÈIÆ;ILIJA LOVRIÆ;VANESSA VRHOVEC;MIROSLAV RAGUŽ;IVICA KONTIÆ;MARIO RALJIÆ;MLADEN BRCKO;DAMIR FERENÈAK;SEBASTIAN GRAF SORO;MARTINA ŠIMIÆ;ZEKIJA SARAÐEN;MARINA WOLF;BOŽICA DUÈKIÆ;HRVATSKA ZORA STRANKA NARODA - HZ;ANTE BIRIN;STJEPAN SVIBEN;IVICA PETROVIÆ;MIRNA MRKONJIÆ SMAILAGIÆ;IVAN KREŠTELICA;DUBRAVKA KORUGA;DARKO KUJUNDŽIÆ;BRANKICA SERTIÆ;IVO PETRIÆ;RENATA PANADIÆ;MARIO DABO;JASENKA SAVIÆ;LUKA VLADANOVIÆ;MARTINA SVIBEN;RADNIÈKA FRONTA - RF;MARKO MILOŠEVIÆ;ZVJEZDANA CIKOTA;ŽELJKO MARIJAN;TATJANA SAMARDŽIÆ-DUŽEVIÆ;MARIN PANOVIÆ;ANA MRKONJIÆ;ALEKSANDAR DOLIÆ;ŽELJKA BILOŠ;DIJAMANTIS DUŽEVIÆ;MAJA ŠÆUKANEC;ZORAN BURIÆ;LARISA PETRIÆ;BOJAN BIRK;DENIS GETO;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKI LABURISTI - STRANKA RADA, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, ZAGORSKA STRANKA - ZS;BORIS LALOVAC;RAJKO OSTOJIÆ;GORAN BEUS RICHEMBERGH;MIRANDO MRSIÆ;IVO JELUŠIÆ;ZORAN VASIÆ;BOJAN GLAVAŠEVIÆ;KRISTINA IKIÆ BANIÈEK;IVA PRPIÆ;IVICA RENDULIÆ;LJEPOSAVA BARTA;MAJA SPORIŠ;BORIS BLAŽEKOVIÆ;SVJETLANA LAZIÆ;ZA GRAD;SANDRO SALOPEK;JELENA ŠIMUNOVIÆ;NEVEN RAUK;BARBARA BENÈIÆ;FRANJO KIŠ;SARA-MARIJA STARÈEVIÆ;HRVOJE ŠINCEK;RENATA NOVAK-PERJANEC;TOMISLAV TUKŠA;LJILJANA KELIHAR;VINKO LJUBAS;TENA ŠKILJEVIÆ;KREŠIMIR ÈORAK;IVANA ÐURÐAN;ŽIVI ZID;DRAGAN ZORIÆ;DRAŽAN DIZDAR, prof. dr. sc.;IVICA MARKOVIÆ;NADA TUŠAK;MIRALEM VATRAÈ;DIJANA SAVIÆ;SUZANA RENDIÆ;SLAVICA KRÈELIÆ;SNJEŽANA VUÈINOVIÆ;BILJANA HERŠAK;TAJNA PAVLOVIÆ STOJIÆ;DAVOR SREBAÈIÆ;NEVEN MALIVUK;MANIKA MOHR
006;VI. IZBORNA JEDINICA;;inozemstvo;država;KANADA;002;biraèko mjesto broj 2 - MISSISSAUGA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U KANADI, MISSISSAUGA;918 DUNDAS STREET E., SUITE 302, MISSISSAUGA, ONTARIO L4Y 2B8, KANADA;13;13;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;4;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;KANADA;003;biraèko mjesto broj 3 - MISSISSAUGA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U KANADI, MISSISSAUGA;918 DUNDAS STREET E., SUITE 302, MISSISSAUGA, ONTARIO L4Y 2B8, KANADA;10;10;10;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;KATAR;001;biraèko mjesto broj 1 - DOHA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U DRŽAVI KATAR;WADI AL HUMRA 807 ST. SAHA 96, BUILDING NO. 3 AL DAFNA AREA, DOHA, KATAR;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;KINA;001;biraèko mjesto broj 1 - PEKING;VELEPOSLANSTVO REPUBLIKE HRVATSKE U NARODNOJ REPUBLICI KINI;SAN LI TUN DIPLOMATIC OFFICE BUILDING 2-7-2, 100600 BEIJING, NR KINA;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;KOSOVO;001;biraèko mjesto broj 1 - PRIŠTINA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI KOSOVO;FEHMI AGANI 69/A, PRISHTINË, KOSOVO;7;7;7;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;MAÐARSKA;001;biraèko mjesto broj 1 - BUDIMPEŠTA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U MAÐARSKOJ;MUNKÁCSY MIHÁLY U. 15, 1063 BUDAPEST, MAÐARSKA;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;MAÐARSKA;002;biraèko mjesto broj 2 - PEÈUH;GENERALNI KONZULAT REPUBLIKE HRVATSKE U MAÐARSKOJ;IFJUSAG 11, 7624 PECS, MAÐARSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;MAKEDONIJA;001;biraèko mjesto broj 1 - SKOPJE;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI MAKEDONIJI;BUKUREŠKA 91, 1000 SKOPJE, MAKEDONIJA;4;4;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;NIZOZEMSKA;001;biraèko mjesto broj 1 - HAAG;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI NIZOZEMSKOJ;AMALIASTRAAT 16, NL-2514 JC DEN HAAG, NIZOZEMSKA;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;NORVEŠKA;001;biraèko mjesto broj 1 - OSLO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI NORVEŠKOJ;DRAMMENSVEIEN 82, 0244 OSLO, NORVEŠKA;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;NJEMAÈKA;001;biraèko mjesto broj 1 - BERLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ;AHORNSTRASSE 4, 10787 BERLIN, SR NJEMAÈKA;17;17;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;NJEMAÈKA;002;biraèko mjesto broj 2 - BERLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ;AHORNSTRASSE 4, 10787 BERLIN, SR NJEMAÈKA;20;20;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;1;3;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;NJEMAÈKA;003;biraèko mjesto broj 3 - DÜSSELDORF;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, DÜSSELDORF;CARLSPLATZ 14-15, 40213 DÜSSELDORF, SR NJEMAÈKA;25;25;25;25;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;0;7;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;NJEMAÈKA;004;biraèko mjesto broj 4 - DÜSSELDORF;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, DÜSSELDORF;CARLSPLATZ 14-15, 40213 DÜSSELDORF, SR NJEMAÈKA;22;22;22;22;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;6;4;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;;inozemstvo;država;NJEMAÈKA;005;biraèko mjesto broj 5 - DÜSSELDORF;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, DÜSSELDORF;CARLSPLATZ 14-15, 40213 DÜSSELDORF, SR NJEMAÈKA;26;26;26;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;18;0;5;3;0;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
